case_id,project_name,model,city,size,space_type,business_tags,migration_tags,completeness,video_no,status,duplicate_group,line_no,target_problem,customer_type,operation_goal,asset_condition,scale_level,investment_level,migration_difficulty,verification_priority
案例B7,北海阿萨卡,二、城市级概念/产业文商旅,广西北海,拥有北海体量最大的酒店集群,未分类,餐饮; 酒店,去零售化自循环; 全自营把控; 互联网用户思维; 产业基础解决淡旺季,高,No.235,待核验,,5539,,,,,,,,
案例B8,上海EKA·天物,二、城市级概念/产业文商旅,上海,40多栋老建筑，1000多个停车位,未分类,餐饮; 零售; 体验; 文化,建筑差异化; 刚需先行; 活动IP化; 长期资产化,高,No.353,待核验,,5589,,,,,,,,
案例B9,北戴河阿那亚,二、城市级概念/产业文商旅,秦皇岛（北戴河）,年接待350万人次，2024年运营服务产值22亿,街区; 滨水,餐饮; 运动; 酒店,需求倒推业态; 淡季内容拉平; 配套打卡化; 商户经营规范; 价格公约,高,No.525,待核验,,5639,,,,,,,,
案例B10,曼谷1981 Soul & Sold,二、城市级概念/产业文商旅,曼谷,未提及,未分类,餐饮; 零售,主题化旧物重组; 主题社区招商; 快闪铺位低门槛; 放弃主体性邀请策展,高,No.4,待核验,,5693,,,,,,,,
案例B11,沈阳东北超-机械巨虎,二、城市级概念/产业文商旅,沈阳,虎啸街2.5万方，机械巨虎东东32吨、身长18米、站起来5层楼高、4万多个零件、200多个活动关节,街区,,机械巨兽IP; 街区IP化; 神兽宇宙系列,高,No.52,待核验,,5743,,,,,,,,
案例B12,盐官古城-潮乐之城,二、城市级概念/产业文商旅,未提及,朝臣艺术中心2700多个座位,未分类,餐饮; 文化; 酒店,强主题定位; 主题空间语言; 内容生产思维; 自营场馆矩阵,高,No.99,待核验,,5792,,,,,,,,
案例B13,迪拜文艺园区,二、城市级概念/产业文商旅,迪拜,占地23000平米,未分类,餐饮; 文化,反向定位; 轻巧质感设计; 内容养圈子招商; 核心主力空间,高,No.166,待核验,,5842,,,,,,,,
案例B14,广州阿那亚Aperch,二、城市级概念/产业文商旅,广州,两层建筑,未分类,餐饮,立体花园式院子; 南北融合招商; 活人感运营; 朴素自然风格,高,No.355,待核验,,5892,,,,,,,,
案例B15,洛阳魏坡新序,二、城市级概念/产业文商旅,洛阳,未提及,未分类,餐饮; 亲子; 文化,古村反差融合; 见招拆招运营; 冲突感招商; 用一线水平要求自己,高,No.493,待核验,,5942,,,,,,,,
案例B16,耐克TOMA街头足球赛（北京798）,二、城市级概念/产业文商旅,北京,未提及（两天拉了3300多人参与）,未分类,体验,全球IP在地化落地; 赛事+市集+潮流组合; 非标准场地改造,高,No.13,待核验,,5992,,,,,,,,
案例B17,西安小寨原力场,二、城市级概念/产业文商旅,西安,4.5万方,未分类,餐饮; 零售; 文化,首层外立面交品牌创新; 体量有限主动留白; 青年文化业态组合,高,No.17,待核验,DG16,6039,,,,,,,,
案例B18,LV路易号（上海）,二、城市级概念/产业文商旅,上海,1600平，三层,历史文化,餐饮; 零售; 体验; 文化,品牌大装置作为城市奇观; 流量串联商圈; 城市文脉与品牌叙事融合,高,No.19,待核验,,6086,,,,,,,,
案例B19,上海国际电影节,二、城市级概念/产业文商旅,上海,未提及（开票15分钟25万张票抢空）,街区,,城市IP主题街区化; 行业+大众双轨活动; IP衍生消费链路,高,No.22,待核验,,6133,,,,,,,,
案例B20,西安欧亚学院,二、城市级概念/产业文商旅,西安,未提及,未分类,,大师建筑克制设计; 空间服务生活场景; 校园空间转化为内容资产,中,No.25,待核验,,6180,,,,,,,,
案例B21,厦门万象城二期,二、城市级概念/产业文商旅,厦门,二期4万多平，120个品牌（一期十几万方）,盒子mall,餐饮; 零售; 娱乐,在地文化暗线贯穿; 场景化餐饮; 一二期协同热场,高,No.26,待核验,,6227,,,,,,,,
案例B22,顺德万象汇,二、城市级概念/产业文商旅,顺德（佛山）,约50万平米TOD大盘,公园,运动,TOD大盘以水系为脊梁; 文旅铁三角组团; 生态恢复融入人居,高,No.31,待核验,DG20,6274,,,,,,,,
案例B23,南京光环花园城,二、城市级概念/产业文商旅,南京,60万方大综合体，10万方街区，6万方大草地,街区; 公园,,先建公园再建商场; 文旅接驳串联; 古建重建+当代艺术装置,高,No.43,待核验,,6321,,,,,,,,
案例B24,MINISO Gallery（上海外滩）,二、城市级概念/产业文商旅,上海,未提及,滨水,文化,品牌开画廊做艺术展; 老建筑克制留白; 全球艺术城市巡展,高,No.58,待核验,,6368,,,,,,,,
案例B25,温州南食召,二、城市级概念/产业文商旅,温州,未提及,未分类,零售,本土风物改良创新; 旧里搞事情不拆建; 新造社区做主题展厅,高,No.65,待核验,,6415,,,,,,,,
案例B26,广州聚龙湾太古里,二、城市级概念/产业文商旅,广州,未提及,历史文化,,老仓库先做历史展厅; 老榕树老麻石保留; 老地方新买卖,中,No.73,待核验,,6462,,,,,,,,
案例B27,上海蟠龙水市,二、城市级概念/产业文商旅,上海,未提及,未分类,体验,市集造水乡意境; 市集体验化; 市集去中心化,高,No.86,待核验,,6509,,,,,,,,
案例B28,博多运河城（海外）,二、城市级概念/产业文商旅,日本福冈,未提及,滨水,零售,针对性客群转换; 主题区垂直营造; 峡谷风公园商业,高,No.91,待核验,,6556,,,,,,,,
案例B29,重庆江陵茶馆,二、城市级概念/产业文商旅,重庆,2000平,滨水,餐饮; 酒店,老影院完整保留改造; 细节致敬旧日; 茶馆+老电影+小吃综合体,高,No.94,待核验,DG17,6603,,,,,,,,
案例B30,重庆朝天门·城里,二、城市级概念/产业文商旅,重庆,未提及,历史文化,餐饮; 零售; 文化,地标用独有内容挺; 随地大小展; 在地文化定制店,高,No.101,待核验,,6650,,,,,,,,
案例B31,上海新六百YOUNG,二、城市级概念/产业文商旅,上海,未提及,未分类,娱乐; 运动,老百货补位商圈拼图; 城市记忆活在当下; 多客群精准组合,高,No.107,待核验,,6697,,,,,,,,
案例B32,悉尼新鱼市（海外）,二、城市级概念/产业文商旅,澳大利亚悉尼,8万平,滨水,餐饮,大屋檐下大台阶留客; 功能交易+观光复合; 木结构大屋顶地标,高,No.110,待核验,,6744,,,,,,,,
案例B33,重庆东原致新·一奥天地,二、城市级概念/产业文商旅,重庆,未提及（七层，半开放形态）,未分类,零售; 运动; 生鲜,主力店撤场后释放空间; 运动家主题剧场; 运动零售社群主体店,高,No.117,待核验,,6791,,,,,,,,
案例B34,福州万象城,二、城市级概念/产业文商旅,福州,小体量（未提及具体面积）,盒子mall,餐饮; 零售; 运动,小体量重奢精准招商; 极致聚焦一个关键场景; 预约制客群分层运营,高,No.134,待核验,,6838,,,,,,,,
案例B35,成都眉山春游音乐节,二、城市级概念/产业文商旅,成都眉山,未提及（从300人小院到几万人盛会）,未分类,体验; 文化,去中心化舞台散布; 春林市集独立手作; 品牌合作融入现场,高,No.135,待核验,,6885,,,,,,,,
案例B36,上海时装周,二、城市级概念/产业文商旅,上海,未提及,未分类,文化,品牌选址城市街角化; 城市即内容现场; 国际大牌首发阵地,高,No.141,待核验,,6932,,,,,,,,
案例B37,迪拜（海外）,二、城市级概念/产业文商旅,阿联酋迪拜,未提及（杜巴沫相当于200个足球场）,未分类,餐饮; 零售,商场对抗极端气候; 极致洁净度门槛; LG层中庭采光,高,No.145,待核验,,6979,,,,,,,,
案例B38,由布院（海外）,二、城市级概念/产业文商旅,日本九州,常住人口不到1.1万,未分类,餐饮,游客中心做第一幕场景; IP种进本地文化; 美食卖地方食材手艺,高,No.168,待核验,,7026,,,,,,,,
案例B39,深圳中航城君尚,二、城市级概念/产业文商旅,深圳,未提及（超大综合体）,未分类,餐饮; 文化; 办公; 酒店,玻璃盒子挂公园边; 欧陆小镇搬进商场; 综合体+城市合伙人,高,No.171,待核验,,7073,,,,,,,,
案例B40,阿尔萨卡Avenue（海外）,二、城市级概念/产业文商旅,阿联酋迪拜,未提及,未分类,餐饮; 零售; 文化,自下而上艺术内容起步; 工业遗产克制改造; 仓库面向公共向导开门,高,No.173,待核验,,7120,,,,,,,,
案例B41,F1上海站,二、城市级概念/产业文商旅,上海,未提及,盒子mall; 历史文化,零售; 体验; 文化,赛事城市party化; 即看即买+圈粉体验; VIP体验积分兑换,高,No.174,待核验,,7167,,,,,,,,
案例B42,广州春节文旅,二、城市级概念/产业文商旅,广州,未提及（9天假期广东全省接待游客超8000万人次，旅游收入接近850亿元，白云机场春运客流量突破500万人次）,未分类,餐饮; 零售,老建筑原貌+广式茶饮; 不人工造节靠民俗; 科技服务生活,高,No.177,待核验,,7214,,,,,,,,
案例B43,福州上下杭,二、城市级概念/产业文商旅,福州,未提及（14所会馆旧址）,未分类,,文化先行商业后置; 会馆旧址各有故事; 老建筑+坡道探索感,高,No.184,待核验,,7261,,,,,,,,
案例B44,成都东郊记忆SC Shop潮牌集合店,二、城市级概念/产业文商旅,成都,150平,未分类,零售,轻量改造老厂房; 航站楼创意主题; 快闪区轮换选品,高,No.187,待核验,,7308,,,,,,,,
案例B45,Last Exit Truck Park货车公园（海外）,二、城市级概念/产业文商旅,阿联酋（迪拜-阿布扎比E11高速公路旁）,未提及,公园,餐饮,低成本创意做杠杆; 电影布景式打造; 破旧即美学,高,No.189,待核验,,7355,,,,,,,,
案例B46,阿那亚三亚,二、城市级概念/产业文商旅,三亚,未提及,未分类,文化,顶级餐厅集群引流; 配套即售后服务; 交付后推翻空间重定义,高,No.201,待核验,,7402,,,,,,,,
案例B47,北京泡泡玛特画廊,二、城市级概念/产业文商旅,北京,未提及,未分类,文化,潮玩IP开画廊; 纯白外观反差颠覆; 工业遗存同框出片,高,No.205,待核验,,7449,,,,,,,,
案例B48,广州保利广场,二、城市级概念/产业文商旅,广州,未提及（改造场）,未分类,餐饮; 零售; 娱乐; 运动,三流心法（增流停留回流）; 寻客区功能闭环; 一时段业态串联,高,No.210,待核验,,7496,,,,,,,,
案例B49,"环南昆山-罗浮山""8""字形山野公路驿站群",二、城市级概念/产业文商旅,广东,16处建筑/驿站,未分类,餐饮; 体验,文化主线叙事; 建筑师+艺术家跨界共创; 最小干预自然; 节点串联既有文化空间,高,No.213,待核验,,7543,,,,,,,,
案例B50,杭州湖滨in77,二、城市级概念/产业文商旅,杭州,年销百亿,滨水,餐饮; 零售,枢纽点位品牌拆分重组; 橱窗化立面展示; 通道空间主题化改造; 女性客群针对性硬件,高,No.219,待核验,,7594,,,,,,,,
案例B51,上海华润时代广场,二、城市级概念/产业文商旅,上海,未提及,未分类,餐饮; 零售,客群重新定位; 粉丝经济常态化运营; 租户共创盖章打卡; 首店矩阵引进,高,No.245,待核验,,7645,,,,,,,,
案例B52,成都麓湖CPI,二、城市级概念/产业文商旅,成都,未提及,滨水,餐饮; 零售,可持续摊位道具; 露天地支台+档口组合; 概念点策展零售; 阳光+坡道氛围营造,高,No.250,待核验,DG10,7696,,,,,,,,
案例B53,上海苏河湾（华润置地城市更新）,二、城市级概念/产业文商旅,上海,未提及（福建3万块老砖、4万多片老瓦回收复用）,滨水; 历史文化,文化,老材料回收复用; 失传砌筑技艺复原; 三维建模构件修复; 品牌作为共创者; 文化常态化运营,高,No.253,待核验,,7747,,,,,,,,
案例B54,朝天门广场/朝天门城里,二、城市级概念/产业文商旅,重庆,未提及（藏在广场下的飞镖文旅商业项目）,未分类,餐饮; 娱乐,城市原点地标下嵌入商业; 古今对撞空间设计; 戏台作为发布场景; 老字号+新文创品牌组合,高,No.257,待核验,,7799,,,,,,,,
案例B55,Salomon萨洛蒙成都太古里店,二、城市级概念/产业文商旅,成都,超500㎡，双层,未分类,运动,策展化店铺设计; 专业选品+体验匹配; 社群日程常态化; 在地材料创新运用,高,No.268,待核验,,7850,,,,,,,,
案例B56,成都麓湖商业,二、城市级概念/产业文商旅,成都,已开业商业面积38万余平方米，10多万平米艺术空间与办公空间，在建41万平方米，待规划近90万平方米，总计超150万平方米,滨水,,小体量组团式创新; 自然生态作为基因; 自创内容而非找IP; 品牌共创筛选,高,No.292,待核验,,7901,,,,,,,,
案例B57,杭州城北万象城,二、城市级概念/产业文商旅,杭州,15万方商业，背靠80万方大底盘,盒子mall; 街区,餐饮; 零售; 亲子; 运动,站级到达+站级公园; 三类导流组合拳; 礼巷街区+品牌迭代; 全龄友好基础设施,高,No.308,待核验,,7952,,,,,,,,
案例B58,资阳临空经济区,二、城市级概念/产业文商旅,四川资阳,未提及（含方特乐园、邻里中心、潮玩艺术青年聚集地、成美上街、临空奥莱、集装箱运动区等组团）,未分类,餐饮; 运动; 办公,产城人一体化复合发展; 业态细分增量; 商户常态化经营分析会; 创造者驱动数字游民社区,高,No.313,待核验,,8003,,,,,,,,
案例B59,乌镇戏剧节,二、城市级概念/产业文商旅,浙江桐乡乌镇,1300年历史古镇为舞台，今年特邀剧目来自全球10个国家25部佳作，89个中外表演团队，超2000场嘉年华演出,历史文化,餐饮; 体验,古镇+全球戏剧反差定位; 戏剧去剧场化; 多样化打开方式; 整体控制+精细化管理,高,No.332,待核验,,8054,,,,,,,,
案例B60,厦门海上世界,二、城市级概念/产业文商旅,福建厦门,一期已开业，二期12.8万平米超级文旅中心2.0,未分类,餐饮; 零售; 体验; 娱乐,商场先成为景区; 城市级事件变成固定IP; 客群扩展路径; 二期延续一期定位,高,No.339,待核验,,8105,,,,,,,,
案例B61,成都麓镇,二、城市级概念/产业文商旅,成都,未提及（含山顶广场、新雨花街、木连街等阶梯式街道）,未分类,餐饮; 零售; 文化,阶梯式阶段式更新; 欧式建筑+浪漫场景+多元业态+艺术集群; 匠心品牌选品; 在地+国际策展,高,No.340,待核验,,8156,,,,,,,,
案例B62,武汉万象城,二、城市级概念/产业文商旅,武汉,未提及（含漫象WaveB街区）,盒子mall; 街区,餐饮; 零售; 运动,口袋公园+独栋+漫闪融合; 大面积绿色立体造景; 高强度品牌调改; 户外品牌聚集化,高,No.360,待核验,,8207,,,,,,,,
案例B63,成都大旗茶馆,二、城市级概念/产业文商旅,成都,未提及（三四层楼挑高的剧场式茶馆）,未分类,餐饮; 体验; 娱乐,剧场式茶馆场景; 清硬装用软装; 老字号业态组合; 全龄段包容定位,高,No.363,待核验,,8258,,,,,,,,
案例B64,宜宾天地,二、城市级概念/产业文商旅,四川宜宾,14万方大体量商业，集合南北区贸开放街区、公园,街区; 公园,餐饮; 零售; 运动,游客友好计划; TOD+POD综合体; 一线城市玩法下沉; IP+艺术家场景,高,No.365,待核验,,8309,,,,,,,,
案例B65,渝北光环花园城,二、城市级概念/产业文商旅,重庆渝北,未提及（含世界树超级顶观横跨四层楼）,未分类,亲子,垂直花园+山城地貌; 超级顶观IP化; 商业景观+博物馆共建; 景观嵌进品牌店; 商场+政务服务,高,No.375,待核验,,8360,,,,,,,,
案例B66,北京通州领展广场,二、城市级概念/产业文商旅,北京通州,未提及（含中庭、石味街福d plus餐饮区）,未分类,餐饮; 零售,中庭室外化; 不闭店爆改餐饮区; 释放面积变铺子; 改造前半年预热,高,No.378,待核验,,8412,,,,,,,,
案例B67,佛山宏宇·GDC国际科教体育竞速中心,二、城市级概念/产业文商旅,广东佛山南海桂城,未提及（含世界级遥控赛车专用赛道、2万平水域、户外演唱会场地）,未分类,运动,小众爱好作为城市IP; 兼顾专业与全民参与; 竞速+生态+乐园公园商业; 兴趣社群种下文旅目的地,高,No.384,待核验,,8463,,,,,,,,
案例B68,晋中天美杉杉奥特莱斯,二、城市级概念/产业文商旅,山西晋中,未提及,历史文化,餐饮; 零售; 体验; 文化,跨城市咽喉选址; 组货+渠道能力; 宠顾客细节; 非遗文化据点,高,No.388,待核验,,8514,,,,,,,,
案例B69,芜湖古城,二、城市级概念/产业文商旅,安徽芜湖,占地423亩，1800年历史，6个文保单位（城隍庙、衙属文庙、模范监狱等），花街、南门湾、南镇街、河豚巷等街巷，老城基里70多栋建筑,街区; 滨水; 历史文化,餐饮; 文化,四步改造法; 万人石砖计划; 新旧砖拼图编织; 全开放+全自持运营,高,No.406,待核验,,8565,,,,,,,,
案例B70,合肥银泰in77,二、城市级概念/产业文商旅,安徽合肥,未提及,未分类,餐饮; 零售,老百货留白改造; 6个月整改细节; 主理人驱动式社群; 媒体共建城市节庆,高,No.427,待核验,,8616,,,,,,,,
案例B71,景德镇瓷文化市集,二、城市级概念/产业文商旅,江西景德镇,300多个商家,历史文化,餐饮; 体验,多景点变天然发现地; 明星达人+老艺人混搭; 摊位直播化; 体验+种草+消费闭环,高,No.428,待核验,,8667,,,,,,,,
案例B72,西安万象城（生命之树）,二、城市级概念/产业文商旅,陕西西安,未提及（含生命之树57米高、60枚叶片）,盒子mall,餐饮; 零售,城市级独家符号景观; 立体植物园开放参观; 持续城市级文化内容; 高能级品牌倾斜,高,No.430,待核验,DG15,8718,,,,,,,,
案例B73,成都娇子人行桥,二、城市级概念/产业文商旅,四川成都,几个桥墩撑起9个大小盘子（300平到1600平）,未分类,,桥上种树造公园; 多层级盘子造景; 晚上灯光秀+喷泉; 桥下桥上分层使用,高,No.445,待核验,,8769,,,,,,,,
案例B74,沈北吾悦广场,二、城市级概念/产业文商旅,辽宁沈阳沈北,未提及（含3000平卡路里公园X空间）,盒子mall; 公园,零售; 运动,成熟连锁+本地孵化双管齐下; 本地品牌孵化; X空间+特色赛道; 200+品牌调窜变形,高,No.448,待核验,,8820,,,,,,,,
案例B75,罗湖益田假日广场,二、城市级概念/产业文商旅,广东深圳罗湖,未提及,街区; 滨水,零售; 生鲜,客群精准定位; 借力口岸流量; 质价比锁回头客; 餐饮经典+爆款组合,高,No.449,待核验,,8871,,,,,,,,
案例B76,郑东万象城,二、城市级概念/产业文商旅,河南郑州,24万方大体量，北区大盒子近20万平主体，南区4万多平半露天街区,盒子mall; 街区; 滨水,餐饮; 零售; 运动,立面呼应在地文化; 立面动态互动; 南北分区一街一合; 室内户外化花园,高,No.458,待核验,,8922,,,,,,,,
案例B77,顺德万象汇,二、城市级概念/产业文商旅,广东佛山顺德,未提及,未分类,餐饮; 零售; 运动,在地文化内核+当代审美; 餐饮全透明明朗店面; 老字号进商场升级; 首店矩阵制造跨城吸引力,高,No.459,待核验,DG20,8973,,,,,,,,
案例B78,乌鲁木齐CCMALL时代广场,二、城市级概念/产业文商旅,新疆乌鲁木齐,未提及（含LG层7米调高景观休息区）,盒子mall,,LG层景观休息区; 百万洗手间; 品牌定制店门头; 品牌日IP化运营,高,No.467,待核验,,9024,,,,,,,,
案例B79,京都文旅商业（海外）,二、城市级概念/产业文商旅,日本京都（海外）,未提及,未分类,餐饮; 零售,自然+建筑+交通+IP+业态打包; 精神河流作为漫商业基因; 老建筑里做年轻商业; 外来品牌遵循城市审美,高,No.472,待核验,,9075,,,,,,,,
案例B80,成都COSMO,二、城市级概念/产业文商旅,四川成都,未提及（含中庭空间、扣那社交版食堂）,未分类,餐饮; 零售; 文化,同品类品牌聚集; 工业风硬件投入; 社交版校园食堂; 展览+赛事造场子,高,No.483,待核验,,9126,,,,,,,,
案例B81,广州天环,二、城市级概念/产业文商旅,广东广州,未提及（下沉广场2万方，300多米720度双向沿街面）,未分类,餐饮; 零售; 运动,一楼让给市民; 凹十米下沉广场; 720度双向沿街面; 嗅觉经济先发布局; 口袋公园矩阵,高,No.492,待核验,,9177,,,,,,,,
案例B82,重庆北城天街,二、城市级概念/产业文商旅,重庆,未提及（含AB馆、高街、榕树广场）,未分类,餐饮; 零售,删繁就简+室内室外化; 榕树广场挖下沉广场; 围挡变打卡花墙; 户外品牌定制门头; 商场内引集市,高,No.508,待核验,,9229,,,,,,,,
案例B83,腊肠岛欧米卡之terris（海外）,二、城市级概念/产业文商旅,日本冲绳,34栋纯白建筑，20分钟可走完,未分类,,退台式山坡布局; V字形动线; 甜品饮料业态主导; 机场旁商业选址,高,No.512,待核验,,9281,,,,,,,,
案例B84,西安小寨原力场,二、城市级概念/产业文商旅,西安,未提及,未分类,餐饮; 零售,快时尚引流+设计师变现组合; 数据驱动的位置调整; 餐饮上楼+迷你档口; 低成本氛围营造,高,No.513,待核验,DG16,9332,,,,,,,,
案例B85,潮流盒子·武汉X118,二、城市级概念/产业文商旅,武汉,7层楼空间，70多家品牌,盒子mall,餐饮,老百货+二次元主题更新; 自创拟人化IP; 场地+活动交给玩家决定; 针对性服务设施,高,No.514,待核验,,9383,,,,,,,,
案例B86,厦门大悦城,二、城市级概念/产业文商旅,厦门,十万方,盒子mall; 街区,餐饮; 零售; 运动,室外空间室内化; 屋顶无边际打卡点; 漫闪街区+潮流手作品牌; 城市级活动密度,高,No.515,待核验,DG05,9434,,,,,,,,
案例B87,魏坡新序,二、城市级概念/产业文商旅,洛阳,未提及（小村子）,未分类,餐饮; 零售,老灵魂+新品牌反差组合; 建筑做减法+内容做加法; 国际咖啡节等内容驱动; 高频活动链接社群,高,No.516,待核验,,9485,,,,,,,,
案例B88,顺德ALSO,二、城市级概念/产业文商旅,佛山顺德,一圈铺面包起中心广场，室内工区少,未分类,餐饮; 零售,户外广场激活室内硬伤; 老带新招商策略; 口袋公园划分广场; 主理人兴趣班填充碎片时间,高,No.517,待核验,,9536,,,,,,,,
案例B89,深圳深业上城,二、城市级概念/产业文商旅,深圳,未提及（含小镇+商场+盒子商业）,盒子mall,餐饮; 零售; 运动,廊桥缝合商场与公园; 公园变户外活动场地; 蒙特利安墙造景; 旗舰店+免税店+百货组合,高,No.520,待核验,,9587,,,,,,,,
案例B90,青岛万象城,二、城市级概念/产业文商旅,青岛,建筑面积超30万方，9层楼,盒子mall,餐饮; 零售; 娱乐; 运动,多首层设计; 屋顶天空之城分区; 城市AB面客群细分; 千万级亲民调性,高,No.533,待核验,DG19,9638,,,,,,,,
案例B91,北京超极合生汇,二、城市级概念/产业文商旅,北京,46万方（65个足球场大小）,未分类,零售; 亲子; 运动,主题乐园式切分大体量; 巨型穹顶作为地标+活动场; 首店专治消费外衣策略; IP浓度内容运营,高,No.541,待核验,DG03,9689,,,,,,,,
案例B92,广州番禺OMG网红街,二、城市级概念/产业文商旅,广州,近8万方商业街区,街区,餐饮; 亲子,自营主力店控成本; 反效率制造快乐; 零重复品类策略; 养成系街区运营,高,No.567,待核验,,9740,,,,,,,,
案例B93,广州九龙湖阿那亚（岭南版阿那亚）,二、城市级概念/产业文商旅,广州,未提及（含欧式小镇+湖区+大草坪+废墟教堂）,滨水,餐饮; 娱乐; 酒店,"入口藏进山坳营造安全感; 跨城市拉品牌融合; 废墟教堂""假装没人设计过""; 放弃开发用地造活动大草坪",高,No.568,待核验,,9791,,,,,,,,
案例B94,深圳大运天地,二、城市级概念/产业文商旅,深圳,未提及（露天商街）,未分类,餐饮,商场+公园+动物园三合一; 真实宠物友好（非企划概念）; 凤凰木遮阳+清水空间布局; 港客打卡引流,高,No.569,待核验,DG14,9842,,,,,,,,
案例B95,泡泡玛特小野全球首家门店,二、城市级概念/产业文商旅,上海,未提及,未分类,餐饮,IP升级为情绪解决方案; 回收木材+混凝土空间; 咖啡收银台做传统药铺造型; IP+生活方式全品类,高,No.577,待核验,,9893,,,,,,,,
案例B96,三亚海棠湾生态公园（华润片区统筹）,二、城市级概念/产业文商旅,三亚,大几千亩山河湖海基地；三亚万象城为全国体量最大的超级万象城,盒子mall; 滨水; 公园,餐饮; 酒店,双轨生态过渡带; 先养环境再养人再养商; 片区统筹3.0版本; 生态公园+万象城组合,高,No.583,待核验,,9944,,,,,,,,
案例B97,北海道新千岁机场（海外）,二、城市级概念/产业文商旅,日本北海道,未提及（含多条主题街区）,街区,餐饮; 酒店,机场变城市盲盒; 读心术式服务; 限定款讲在地故事; 详细旅游攻略前置,高,No.590,待核验,,9995,,,,,,,,
案例C1,首尔圣水洞（海外）,三、街区/滨河/历史文化街区,首尔,未提及,未分类,餐饮; 零售; 文化,老厂房外立面保留; 低租金吸引独立创作者; 新旧反差审美; 高密度店铺排列,高,No.2,待核验,,10054,,,,,,,,
案例C2,悉尼岩石区（海外）,三、街区/滨河/历史文化街区,悉尼,200多个本地原创小品牌店铺；周末市集150个摊位,未分类,餐饮; 零售; 娱乐,能旧则旧的改造原则; 商户外立面统一管控; 本地原创小品牌聚集; 周末主题市集,高,No.12,待核验,DG07,10104,,,,,,,,
案例C3,北京中海大吉巷,三、街区/滨河/历史文化街区,北京,可租赁面积3万方,未分类,餐饮; 零售,文保建筑活化利用; 限高条件下向地下挖空间; 绿地配建景观化利用; 多元文化策展运营; 首店定制店引入,高,No.38,待核验,,10154,,,,,,,,
案例C4,宁波秀水街,三、街区/滨河/历史文化街区,宁波,保留1个区级文保单位、12个市级文保点、16栋历史建筑、34个传统风貌建筑；开街三天客流60万人，销售额突破1100万,历史文化,餐饮; 文化; 酒店,基础设施先行; 店铺位置精准判断; 老宅讲故事; 开放式剧场化运营; 影视IP植入; 片区策展串联,高,No.54,待核验,,10205,,,,,,,,
案例C5,悉尼QVB（海外）,三、街区/滨河/历史文化街区,悉尼,长190米、宽30米，占据一个城市街区；场内200家店,街区,餐饮,历史建筑原貌完整保留; 严苛的商户装修管控; 长条形空间视觉密度填充; 中间固定做香氛快闪; 二楼博物馆式慢节奏,高,No.113,待核验,,10257,,,,,,,,
案例C6,上海安福路,三、街区/滨河/历史文化街区,上海,全长不到900米,未分类,餐饮; 零售; 运动,街区尺度舒适; 自带热度品牌扎堆; 内容持续输出; 大牌快闪+小店混搭; 两头与中段流量轮动,高,No.407,待核验,,10308,,,,,,,,
案例C7,景德镇陶阳里,三、街区/滨河/历史文化街区,景德镇,中山北路长约400米,未分类,,真实生产生活保留; 7年研究式修缮; 非必要不增加原则; 戏台+匠人+游客共融; 本地化市井浓度,高,No.432,待核验,,10359,,,,,,,,
案例C8,北京胡同商业,三、街区/滨河/历史文化街区,北京,未提及,未分类,餐饮; 零售; 文化; 酒店,一院一侧绣花功夫改造; 国际品牌镶嵌制造稀缺体验; 原住民生活场景保留; 改造初期运营团队介入; 主理人品牌孵化,高,No.37,待核验,,10412,,,,,,,,
案例C9,青岛银鱼巷,三、街区/滨河/历史文化街区,青岛,银鱼巷255米长；盈余百货mini帽LL南区入口3000多平；波螺油子防空洞39米长,地下,餐饮; 零售; 体验,防空洞/废弃空间改造; 老厂房外低调门头+室内炸裂; 600瓶咖啡烘焙工坊前店后厂; 小众品牌故事化陈列; 原貌保留+细节变化,高,No.82,待核验,,10463,,,,,,,,
案例C10,广州黄沙上堓,三、街区/滨河/历史文化街区,广州,未提及,历史文化,零售; 文化,真实质感保留; 装饰致敬原记忆; 主题化活动; 本地老字号与潮流品牌混搭; 多年龄段客群覆盖,高,No.93,待核验,,10514,,,,,,,,
案例C11,上海M+幸福里,三、街区/滨河/历史文化街区,上海,全长不到200米；租金据说翻了3倍,未分类,,封闭院落改街道; 空间层次拉满; 运营与设计互相提需求; 设计师自经营内容店; 内容店功成身退,高,No.121,待核验,,10565,,,,,,,,
案例C12,昆明巡津街,三、街区/滨河/历史文化街区,昆明,寻经归林800平,历史文化,餐饮; 文化,旧停车楼爆改; 工业灰水洗式质感; 街角会客厅+沿街外摆; 差异化品质咖啡; 茶饮向咖啡馆靠齐; 宝藏杂货店深巷隐藏,高,No.192,待核验,,10616,,,,,,,,
案例C13,武汉延庆里,三、街区/滨河/历史文化街区,武汉,未提及（主向东西约5-6米宽，适合慢走）,未分类,餐饮; 零售; 娱乐; 文化,石库门建筑形制保留; 天井巷道丰富空间层次; 导示干紧克制; 入口艺术中心引流; 店铺靠陈列审美吸引; 整体控制商业感,高,No.425,待核验,,10668,,,,,,,,
案例C14,成都CPI,三、街区/滨河/历史文化街区,成都,未提及,公园,餐饮; 零售; 娱乐,公园气质吸引高奢快闪; 限时店主题化搭建; 广场慢闪快闪开放给市民; 公共空间运营创新; 品牌与场地打配合造话题,高,No.475,待核验,,10720,,,,,,,,
